ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
281,無子芭樂,33.4051,0.74,0.0016,8.5848
282,紅心芭樂,42.0341,0.757,0.1089,10.7164
283,楊桃平均值,32.0281,0.5262,0.0706,8.2414
284,楊桃(2月取樣),29.3672,0.438,0.0734,7.5781
285,楊桃(4月取樣),32.095,0.651,0.0722,8.1398
286,楊桃(5月取樣),34.4451,0.636,0.127,8.6792
287,楊桃(9月取樣),33.4224,0.468,0.036,8.7635
288,楊桃(11月取樣),30.8111,0.438,0.0444,8.0466
289,美國紅葡萄,68.6178,0.443,0.4035,17.7089
290,巨峰葡萄,63.5451,0.52,0.2633,16.5539
291,綠葡萄平均值,57.9343,0.5188,0.1533,15.2524
292,美國綠葡萄,63.9579,0.5385,0.1935,16.8136
293,意大利葡萄,51.9108,0.499,0.113,13.6912
294,美國紅葡萄(含皮),61.3069,0.4385,0.145,16.2833
295,美國紫葡萄(含皮),80.4128,0.444,0.0,21.9225
296,美國黑葡萄(含皮),62.6744,0.592,0.177,16.4455
297,美國綠葡萄(含皮),86.9466,0.581,0.395,22.6912
298,無子紅葡萄(含皮),71.6646,0.46,0.108,19.2264
299,黑美人葡萄(含皮),65.5083,0.5135,0.1409,17.3899
300,金香葡萄(含皮),60.1749,0.63,0.062,15.9831
301,蓮霧平均值(粉紅色種),35.3118,0.4105,0.1725,9.0246
302,紅寶石蓮霧,32.9007,0.339,0.3295,8.0566
303,黑金剛蓮霧,33.8464,0.473,0.0613,8.8178
304,黑珍珠蓮霧,39.1882,0.4195,0.1267,10.1995
305,華寶大西瓜(花蓮),33.1023,0.654,0.059,8.4475
306,西瓜平均值(紅肉小瓜),32.5907,0.7784,0.1213,8.0445
307,皇宮西瓜,32.3959,0.69,0.1134,8.0912
308,紅鈴西瓜,34.0299,0.8387,0.0688,8.51
309,黑美人西瓜,36.465,0.912,0.0839,9.0829
310,鳳光西瓜,27.4719,0.673,0.2189,6.494
311,無子西瓜,32.8436,0.875,0.0451,8.2017
312,西瓜平均值(黃肉小瓜),29.0044,0.679,0.038,7.3347
313,小玉西瓜,34.368,0.791,0.06,8.6689
314,金蘭西瓜,23.6408,0.567,0.016,6.0005
315,嘉寶瓜,40.2228,0.78,0.2,9.98
316,甜瓜平均值(光皮洋香瓜),29.5857,0.8727,0.0922,7.1894
317,太陽洋香瓜,32.3771,1.163,0.0347,7.8275
318,狀元瓜,27.3527,0.7327,0.1161,6.6442
319,蜜世界洋香瓜,29.0271,0.7225,0.1257,7.0965
