ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
602,香樁,99.3469,4.3,1.47,19.43
603,茴香,23.8996,2.198,0.2436,4.1287
604,馬齒莧,13.824,1.2,0.4,1.88
605,茼蒿,15.7387,1.741,0.3063,2.2086
606,日本茼蒿,15.1407,2.551,0.1847,1.7721
607,昭和草,26.365,2.2,0.7,3.78
608,隼人瓜苗,23.7434,3.28,0.1633,3.5341
609,白莧菜,17.4757,1.892,0.3045,2.5564
610,紅莧菜,21.8817,2.6233,0.2543,3.3026
611,野莧菜,40.638,6.3,0.6,4.9
612,紫蘇,70.5075,5.526,1.1632,11.8701
613,菠菜,17.8904,2.1873,0.3151,2.4416
614,菠菜(葉),23.6999,3.907,0.4263,2.5373
615,冷凍菠菜,17.2126,2.14,0.04,2.89
616,菾菜,20.7438,2.004,0.1392,3.6739
617,黃金菾菜,18.3533,2.43,0.2012,2.6417
618,落葵,33.1824,2.672,0.3166,6.0338
619,藤三七,21.2508,1.635,0.5346,3.2032
620,不結球萵苣平均值,16.1684,1.1184,0.2595,2.8375
621,奶油萵苣(日本種),15.6951,1.093,0.3087,2.6276
622,紅葉萵苣(荷蘭種）,15.658,1.364,0.2898,2.4766
623,廣東萵苣,19.8449,1.023,0.2065,3.958
624,蘿美萵苣,13.4757,0.9937,0.2329,2.2879
625,土植本島萵苣(1月取樣),16.7144,1.563,0.354,2.476
626,土植本島萵苣(3月取樣),17.7524,0.337,0.2505,3.7879
627,土植本島萵苣(4月取樣),16.7502,0.874,0.203,3.2721
628,土植本島萵苣(7月取樣),23.4994,1.364,0.348,4.3623
629,土植本島萵苣(10月取樣),13.8764,1.142,0.27,2.2114
630,水植本島萵苣(1月取樣),13.7989,1.561,0.165,2.1354
631,水植本島萵苣(4月取樣),14.8005,0.97,0.229,2.6519
632,水植本島萵苣(7月取樣),12.602,1.442,0.168,1.902
633,水植本島萵苣(10月取樣),11.5701,1.144,0.27,1.6187
634,有機本島萵苣(1月取樣),14.8851,1.798,0.026,2.553
635,有機本島萵苣(4月取樣),18.7474,1.063,0.286,3.4791
636,有機本島萵苣(7月取樣),17.1753,1.496,0.31,2.7336
637,有機本島萵苣(10月取樣),14.6738,1.266,0.28,2.3111
638,水植波士頓萵苣,7.5562,1.183,0.209,0.6942
639,結球萵苣,13.4552,0.653,0.1011,2.7944
640,豌豆苗,31.3063,3.7357,0.4984,4.448
641,龍葵,25.8164,3.8,0.32,3.38
642,土植蕹菜(1月取樣),21.5859,1.958,0.331,3.5091
643,土植蕹菜(4月取樣),19.9551,1.706,0.2122,3.5152
644,土植蕹菜(7月取樣),17.0068,1.917,0.136,2.781
645,土植蕹菜(10月取樣),17.4629,1.809,0.29,2.64
646,水植蕹菜(1月取樣),27.3093,2.704,0.298,4.5463
647,水植蕹菜(4月取樣),23.5584,2.2,0.127,4.2901
648,水植蕹菜(7月取樣),17.1858,1.919,0.185,2.7204
649,水植蕹菜(10月取樣),22.7065,2.185,0.26,3.7963
650,有機蕹菜(4月取樣),25.8152,1.937,0.308,4.657
651,有機蕹菜(10月取樣),19.3562,1.711,0.37,3.0196
652,水蕹菜,23.6005,2.61,0.4778,3.2726
653,蘿蔔葉,13.6798,1.714,0.1771,1.9761
654,花椰菜,23.1991,1.7823,0.131,4.47
655,冷凍花椰菜,21.2569,1.27,0.05,4.49
656,紫色花椰菜,40.0602,3.115,0.288,7.5611
657,青花菜(1999年取樣),28.4278,3.6947,0.1737,4.4343
658,青花菜(2021年取樣),37.9319,3.439,0.4072,6.5419
659,冷凍青花菜,25.2669,2.525,0.156,4.4476
660,青花菜筍,32.3202,3.03,0.5241,5.1269
661,花椰菜乾,290.7787,15.967,0.6137,62.515
662,金針菜,39.5529,2.3853,0.5367,7.3875
663,金針菜乾,307.1319,14.255,1.758,65.4024
664,洛神花乾,306.0205,9.0,0.5532,71.2334
665,絲瓜花,31.3149,3.9,0.27,4.83
666,冬瓜平均值,10.8078,0.3998,0.0711,2.3502
667,冬瓜,12.7817,0.4305,0.1235,2.7231
668,香芋冬瓜,8.8339,0.369,0.0186,1.9773
669,冬瓜(2022年取樣),20.7987,0.411,0.0,5.0569
670,醃漬冬瓜,23.6836,2.47,0.16,4.07
671,南瓜平均值,74.0847,1.8516,0.1983,17.3266
672,日本南瓜,85.8109,0.582,0.388,20.7791
673,台灣南瓜,48.9517,1.6655,0.1665,11.0755
674,栗子南瓜,85.5911,1.371,0.1636,20.6743
675,菊花南瓜,75.985,3.788,0.075,16.7776
676,胡瓜,13.8438,0.6553,0.0963,2.9028
677,花胡瓜,13.3679,0.9423,0.1877,2.3918
678,醃漬花胡瓜,82.6797,3.0,0.51,18.09
679,苦瓜(白皮),19.3817,0.8833,0.1188,4.1213
680,苦瓜(青皮),19.8198,0.884,0.1336,4.2014
681,珍珠苦瓜,18.627,0.741,0.0558,4.1586
682,野苦瓜,29.9788,1.687,0.5895,5.2884
683,隼人瓜,23.1948,0.737,0.1381,5.1559
684,白皮蛇瓜,18.7305,1.44,0.31,3.17
685,綠皮蛇瓜,31.879,1.9,0.6,5.61
686,絲瓜,18.6884,1.062,0.0982,3.8677
687,稜角絲瓜,20.3366,0.896,0.2195,4.1415
688,越瓜,18.1169,0.626,0.0685,4.0778
689,醃漬越瓜,16.0325,1.1,0.15,3.05
690,蒲瓜平均值,17.7862,0.4894,0.1246,3.9644
691,蒲瓜(長形),18.6325,0.504,0.1175,4.1868
692,蒲瓜(圓形),17.9223,0.619,0.063,4.0444
693,花蒲瓜(圓形),14.9133,0.3345,0.048,3.4962
694,葫蘆瓜,19.6769,0.5,0.27,4.13
695,黃櫛瓜,15.1319,1.45,0.1113,2.667
696,綠櫛瓜,13.0889,2.18,0.0467,1.7914
697,枸杞子,346.6949,12.295,1.3,77.8464
698,長茄子,25.3298,1.2165,0.1621,5.3297
699,圓茄子,20.6965,1.019,0.04,4.5364
700,大番茄平均值(紅色系),18.5684,0.7743,0.054,4.125
701,牛番茄,18.5931,0.7085,0.1156,4.0434
702,紅番茄,19.6986,0.885,0.0464,4.3568
703,桃太郎番茄,17.4134,0.7295,0.0,3.9749
704,黃番茄,23.3043,0.924,0.044,5.2603
705,大番茄平均值(綠色系),21.9613,0.7128,0.0667,5.0091
706,粉柿番茄,17.9897,0.771,0.0218,4.048
707,黑柿番茄,23.3283,0.42,0.0613,5.5679
708,綠番茄,24.5658,0.9475,0.117,5.4113
709,小番茄平均值(紅色系),32.6934,0.9208,0.1778,7.3827
710,聖女小番茄,33.8335,1.1085,0.4705,6.9208
711,試交二號小番茄,29.9358,0.736,0.002,7.1771
712,櫻桃小番茄,34.3111,0.918,0.061,8.0501
713,黃金小蕃茄,30.5688,0.813,0.2475,6.7608
714,小番茄平均值(橙色系),31.0774,1.1123,0.1709,6.8546
715,金女小番茄,29.9058,1.099,0.1434,6.6221
716,黃金聖女小番茄,30.8959,0.999,0.1321,6.9674
717,橙蕃茄,32.4305,1.239,0.2371,6.9743
718,甜椒平均值(青皮),29.405,1.0324,0.4472,5.8863
719,甜椒(青皮),23.34,0.7873,0.2711,4.8739
720,小甜椒(青皮),34.5107,1.442,0.5177,6.7691
721,高山甜椒(青皮),30.3643,0.868,0.5529,6.016
722,甜椒(紅皮),33.4918,0.834,0.45,7.0616
723,甜椒(黃皮),28.091,0.826,0.28,6.047
724,甜椒(橙皮),34.5559,0.9225,0.2686,7.6643
725,青辣椒平均值,32.9325,1.3443,0.2998,6.8978
726,角椒,22.1826,0.904,0.159,4.7393
727,長辣椒(青皮),48.9903,1.889,0.4433,10.3412
728,糯米椒,27.6246,1.24,0.297,5.6128
729,紅辣椒平均值,80.4199,3.5632,0.8618,16.3772
730,長辣椒(紅皮),48.387,2.3927,0.6905,9.3176
731,朝天椒(長果),90.0771,3.391,1.3488,17.9239
732,朝天椒(圓果),102.7955,4.906,0.546,21.8902
733,乾長辣椒(紅皮),382.0585,19.942,17.2091,47.6334
734,黃秋葵,35.613,2.0565,0.1259,7.4798
735,青花菜芽,24.7328,2.358,0.5511,3.5749
736,苜蓿芽,20.1213,3.215,0.2148,2.5385
737,紫高麗芽,32.0974,0.248,0.6712,6.623
738,黃豆芽,33.9819,5.3727,1.1922,2.5453
739,黑豆芽,68.8811,7.393,2.042,8.3128
740,葵花芽,26.4237,2.547,0.354,4.3045
741,綠豆芽,23.8073,2.3453,0.2147,4.0681
742,豌豆芽,24.7916,4.7823,0.2785,2.5464
743,蕎麥芽,20.0241,1.866,0.215,3.4194
744,蘿蔔芽,23.5706,2.14,0.3511,3.8526
745,山蘇菜,26.2878,2.967,0.1694,4.3837
746,火炭母草,12.0412,1.6,0.36,1.24
747,石蓮花,10.561,0.385,0.1219,2.1877
748,青葙,50.089,2.5,1.6,7.73
749,假人蔘,31.5362,1.64,2.22,2.22
750,野苦瓜嫩梢,76.5238,5.71,1.68,12.18
751,過溝菜蕨,27.3946,3.0975,0.8249,3.173
752,蔘鬚,330.1551,7.018,1.7639,76.1549
753,龍骨瓣莕菜,17.3803,1.093,0.2718,3.1389
754,薄荷,55.406,3.05,0.6,10.87
755,蕺菜,45.545,3.17,0.88,7.66
756,蘆薈,4.415,0.05,0.4,0.24
757,美國空心菜,21.7462,2.2,0.26,3.54
758,香芫荽,22.9932,2.4,0.16,3.94
759,荷蘭豆菜心,29.8365,3.9,0.55,3.85
760,厥子,22.7312,2.3,0.16,3.94
761,義大利茼蒿,14.8298,1.574,0.3989,1.889
762,龍延草,78.755,3.89,2.26,12.73
763,麵包果,61.3168,0.973,1.8194,11.1639
764,小麥草粉,314.3564,33.992,7.3994,41.8883
765,仙草,18.3461,0.312,0.1849,4.0977
766,紅毛苔,264.6622,39.932,1.9137,36.9289
767,紫菜,267.5053,28.05,0.8823,47.8537
768,熟紫菜,294.1501,18.073,0.417,62.3868
769,髮菜,302.2322,10.274,0.5133,69.4918
770,麒麟菜,41.1567,0.95,0.013,9.8869
771,乾麒麟菜,189.1532,1.197,0.4719,46.6839
772,礁膜,16.0285,0.2575,0.0929,3.7375
773,乾海茸芯,254.2605,8.425,0.213,59.078
774,海帶平均值,19.7793,0.8277,0.094,4.3138
775,海帶卷,14.0141,0.716,0.1674,2.7531
776,海帶茸,28.6693,1.052,0.047,6.5435
777,海帶梗,17.3797,0.849,0.086,3.7014
778,海帶結,16.7364,0.7795,0.0897,3.5752
779,海帶絲,22.0973,0.742,0.08,4.9958
780,乾海帶,219.9825,10.0465,1.1035,47.2883
781,裙帶菜,35.7335,2.9585,0.5798,5.9306
782,乾裙帶菜,224.9262,22.917,0.684,40.8099
783,乾裙帶菜根,201.3949,6.178,0.632,46.133
784,鳳尾藻,224.0688,17.886,1.9884,41.1704
785,洋菜,306.1743,0.3,0.0,78.3047
786,壽司海苔片,277.8906,46.458,3.6924,32.1193
787,寒天脆藻,10.2777,0.042,0.0486,2.5028
788,木耳,37.9503,0.856,0.1457,8.8431
789,冷凍木耳,50.9147,0.86,0.05,12.37
790,乾木耳平均值,333.231,13.7708,0.6806,74.7321
791,乾木耳(紅耳仔),328.7587,6.1495,0.1512,79.8414
792,乾木耳(黑耳仔),337.7033,21.392,1.21,69.6227
793,乾川耳,320.8761,12.714,1.0245,71.536
794,銀耳,21.5239,0.457,0.185,4.8149
795,白毛木耳,44.8771,1.166,0.0646,10.585
796,乾銀耳,310.0816,9.2807,1.1582,70.7877
797,銀耳罐頭,47.6069,0.08,0.09,11.96
798,草菇,35.7491,3.8025,0.345,5.8715
799,草菇罐頭,30.5562,3.2895,0.105,5.3997
800,雞腿菇,35.8226,2.121,0.1397,7.4606
801,雞腿菇(乾),297.5585,20.138,1.4022,59.7591
802,松茸,35.7479,3.146,0.5382,5.8976
803,白精靈菇,35.623,2.105,0.3768,6.9113
804,柳松菇,35.767,3.7043,0.3277,5.9792
805,乾柳松菇,285.7564,23.48,1.881,53.4602
806,香菇平均值,38.5079,3.0243,0.124,7.576
807,香菇(大),37.1935,3.0383,0.1661,7.1392
808,香菇(小),25.8774,2.4185,0.0609,4.8798
809,花菇,52.4527,3.616,0.145,10.709
810,乾香菇平均值,320.9407,20.9261,1.5631,64.8799
811,乾香菇,332.5605,23.3118,1.3833,66.6424
812,乾花菇,316.7305,17.0485,1.0793,67.4435
813,乾白花菇,309.8967,18.714,1.0908,64.5477
814,乾鈕釦菇,324.575,24.63,2.6989,60.8858
815,醃漬香菇,50.4262,3.04,0.12,10.63
816,姬松茸,40.4188,4.0275,0.369,6.8662
817,乾姬松茸,293.6293,33.967,2.6788,46.7216
818,酒杯菇,49.9389,4.583,0.3469,8.9815
819,秀珍菇,27.5205,3.3377,0.084,4.634
820,天喜菇,25.8722,4.504,0.5148,2.5033
821,白蠔菇,32.7085,2.16,0.2561,6.3861
822,玫瑰菇,34.904,4.514,0.127,5.6447
823,秀珍菇罐頭,26.9153,1.653,0.5,4.7178
824,杏香菇,26.2176,2.734,0.1442,4.5763
825,杏鮑菇平均值,41.3127,2.7185,0.208,8.3203
826,杏鮑菇(大),36.8808,2.4273,0.1332,7.5401
827,杏鮑菇(中),40.3456,2.4987,0.2101,8.2155
828,杏鮑菇(小),46.7118,3.2295,0.2807,9.2054
829,珊瑚菇,32.6677,3.9995,0.212,5.2345
830,蠔菇,26.1775,2.0533,0.2667,4.7604
831,鮑魚菇,21.8883,1.689,0.2,4.0485
832,金針菇,37.3304,2.5873,0.3049,7.1794
833,華翠菇,28.6648,2.494,0.2462,5.1461
834,金針菇罐頭,24.0142,1.724,0.2225,4.5218
835,滑菇,26.6925,2.6285,0.1951,4.6597
836,舞菇,27.5913,1.422,0.1402,5.8185
837,鴻喜菇,29.5935,2.9157,0.1487,5.3102
838,美白菇,27.0603,2.3595,0.2506,4.8156
839,洋菇,24.9732,3.039,0.2456,3.8347
840,冷凍洋菇,38.7583,3.79,1.45,4.28
841,洋菇罐頭,26.5582,2.912,0.265,4.2848
842,白茯苓,315.7816,0.99,0.19,79.8968
843,猴頭菇,30.3773,2.065,0.2374,5.8923
844,猴頭菇罐頭,28.6652,0.969,0.106,6.4716
845,乾猴頭菇,311.1703,12.287,3.354,64.3347
846,乾竹笙,312.116,17.517,1.9549,64.0664
847,松茸白菇,37.8902,5.073,0.4825,5.2719
848,金喜菇,39.1662,2.74,0.2484,7.6688
849,喜來菇,37.0486,3.539,0.4061,6.2506
850,富珍茸,37.4175,2.999,0.3757,6.7732
851,白鳳豆平均值,336.6138,23.768,2.061,58.2035
852,白鳳豆(台灣),347.9988,27.393,2.813,56.3637
853,白鳳豆(進口),325.2288,20.143,1.309,60.0433
854,米豆,349.1321,21.7395,2.4487,62.2114
855,花豆,328.4152,21.2243,1.7285,59.0416
856,花豆罐頭(糖漬),203.339,7.572,0.0,43.5047
857,紅豆,327.9899,20.922,0.6215,61.4714
858,紅豆罐頭(糖漬),231.574,8.02,0.283,49.4781
859,紅雲豆(大紅豆),327.607,20.186,1.4074,60.3886
860,甘納豆,333.1432,6.636,0.9712,74.4646
861,青仁黑豆,384.7922,36.9788,14.2338,33.7442
862,黃仁黑豆,253.1516,20.579,2.107,40.3211
863,黑豆胚芽,174.1206,19.234,7.0952,11.7916
864,烘烤黑豆,435.294,39.02,20.07,32.41
865,黑豆粉,430.962,36.0,17.6,39.0
866,毛綠豆,345.6951,22.138,1.2203,63.5534
867,綠豆,344.4722,22.7713,1.0997,62.961
868,綠豆仁,338.5752,24.615,1.2625,59.6054
869,綠豆粉,344.2899,21.74,1.54,62.89
870,高纖胚芽冬粉,369.5105,0.597,0.16,89.9508
871,冬粉,351.37,0.143,0.09,87.497
872,寬粉,349.4273,0.136,0.1265,86.9362
873,豇豆(莢),34.5072,2.3514,0.1393,6.1872
874,萊豆仁,112.3647,7.8297,0.4032,20.1034
875,萊豆仁(去膜),137.4046,7.403,1.3536,24.665
876,粉豆莢,27.0053,1.6605,0.1025,5.0087
877,敏豆莢,29.7036,1.746,0.2421,5.3117
878,冷凍菜豆(莢),56.8299,3.404,0.114,10.8265
879,毛豆仁,129.3,14.6025,3.3222,12.4871
880,帶莢毛豆,120.2617,12.909,1.73,14.9846
881,冷凍毛豆仁,134.6591,12.468,6.1316,9.8461
882,黃豆,388.8861,35.615,15.6693,32.9607
883,黃豆胚芽,180.4286,16.771,6.9514,15.7371
884,黃豆粉,400.9291,37.36,16.74,32.23
885,黃豆粉(有機),434.3999,41.96,21.9234,25.8722
886,豆漿,60.0273,3.1637,1.2845,8.953
887,豆漿(無糖),34.987,3.637,1.945,0.7335
888,雞蛋豆漿,55.66,1.85,1.26,9.23
889,鹹豆漿,37.0,3.5,1.8,1.7
890,黑豆漿,39.2844,1.13,0.58,7.3861
891,豆漿優酪乳,70.2183,1.98,1.1679,12.9468
892,DHA豆奶,43.502,1.72,0.5,8.0305
893,豌豆仁,123.3651,9.2025,0.35,21.7452
894,豌豆莢,40.6139,2.945,0.1699,7.1186
895,高山大豌豆莢,48.5462,2.37,0.0,9.9072
896,甜豌豆莢,42.3477,3.0444,0.1762,7.4469
897,冷凍豌豆仁,95.9772,6.0905,0.6085,17.1376
898,豌豆仁罐頭,122.6995,7.17,0.9235,22.1351
899,鵲豆莢,31.2651,2.4115,0.261,5.0891
900,鹽酥蠶豆,456.4117,26.928,20.865,46.2731
901,紅扁豆仁,342.7899,25.26,2.1197,58.3282
902,鷹嘴豆,363.965,19.359,5.79,61.014
903,樹豆(白),325.3997,22.1,0.8133,59.4362
904,翼豆,30.6793,2.469,0.3646,4.6831
905,牛小排平均值,324.9894,15.1305,28.8672,0.0
906,去骨牛小排,289.8278,17.1365,24.0194,0.0
907,帶骨牛小排,360.1509,13.1245,33.715,0.3875
908,無骨牛小排(美牛),335.1406,15.568,29.7855,0.1723
909,牛肋條,225.2573,18.638,16.15,1.1166
910,牛肋條(2021年取樣),358.0875,15.733,32.2514,0.3317
911,沙朗牛排,162.0033,20.432,8.2881,1.5127
912,板腱 ,166.2639,19.8345,9.0433,0.1704
913,牛去骨肩胛小排,233.4662,16.906,17.88,1.2152
914,牛前胸肉,330.5963,14.79,29.65,0.0
915,牛修清前胸肉,120.4818,22.28,2.81,0.9302
916,去骨紐約克牛排,199.5807,21.33,12.029,0.0
917,腓力牛排,184.2284,20.6265,10.66,0.1333
918,牛後腿肉,121.9141,19.439,4.3137,3.7037
919,牛後腿股肉,152.7283,20.6,7.1803,0.7897
920,牛後腿腱子心,139.1623,19.8387,6.0367,0.0
921,牛後腿腱子心(2022年取樣),151.081,23.713,5.524,3.9516
922,牛肉火鍋片平均值,250.3303,19.0555,18.7321,0.0172
923,牛五花肉火鍋片,430.3055,15.747,40.2512,0.0
924,牛紐約客火鍋片,262.6682,20.128,19.5922,0.0
925,牛梅花肉火鍋片,119.9585,20.3,3.6893,0.9048
926,牛嫩肩里肌火鍋片,188.389,20.047,11.3956,1.7868
927,牛肚平均值,55.7672,11.402,0.785,0.1171
928,牛肚(瘤胃),44.3055,7.482,1.37,0.0
929,牛肚切片(瘤胃),67.2289,15.322,0.2,0.2776
930,牛肚(蜂巢胃),106.655,18.9595,2.849,0.0
931,牛筋,157.3122,21.694,7.1706,3.268
932,滷牛筋,119.4282,21.099,2.7538,2.562
933,山羊帶皮羊肉塊,164.3677,20.258,8.6326,3.3944
934,山羊前腿肉片,122.521,21.3,3.5,0.0
935,山羊後腿肉火鍋片,170.3569,18.883,9.9475,0.074
936,綿羊肉切片,197.536,18.8,13.0,0.0
937,法式羊排,260.1895,18.76,19.965,0.0
938,去骨肩頸眼羊肉,198.0608,17.835,13.515,0.0
939,小羊腰脊肉,142.9707,26.477,3.3164,0.0
940,綿羊腹脅肉火鍋片,252.4413,16.941,19.9671,2.5322
941,豬下肩肉,200.0084,18.101,13.605,0.0
942,豬下肩瘦肉,131.1941,20.0675,5.045,0.0
943,豬上肩肉,206.9863,18.8845,14.0077,0.0
944,豬肩胛肉,294.6727,16.5457,24.8362,0.0
945,豬肩胛排,191.4284,17.94,12.73,0.0
946,豬肩胛排(2021年取樣),244.3685,17.76,18.6844,0.0
947,豬前腿外腱肉,146.482,20.6695,6.4549,0.0
948,豬後腿外腱肉,184.0185,19.011,11.4015,0.7915
949,豬後腿肉,122.7674,20.386,3.96,0.4183
950,豬後腿瘦肉,120.4244,21.0705,3.3762,0.2628
951,豬大里肌,211.7235,19.2457,14.3619,0.0277
952,豬大排,214.151,19.1,14.7,0.0
953,豬小排,287.4227,18.0063,23.341,0.0
954,僧帽肌,208.6355,20.388,13.4788,0.0
955,豬小里肌,139.2907,21.1225,5.4432,0.0
956,豬去皮腹脇肉,359.9549,14.9033,32.8512,0.4556
957,豬帶皮腹脇肉,368.157,14.54,33.9325,0.0
958,豬腹脇排,266.8645,18.744,20.7126,0.0
959,豬肝連,219.8831,14.583,17.4738,0.0
960,豬頰肉,182.1935,17.52,11.905,1.3775
961,豬頰肉(2022年取樣),156.98,18.944,8.4356,2.1227
962,豬頸肉,283.7689,17.237,23.3001,0.8429
963,豬絞肉平均值,211.6482,18.738,14.5939,0.0
964,豬絞肉(70％瘦肉率),217.8718,18.972,15.1731,0.0
965,豬絞肉(90％瘦肉率),205.4247,18.504,14.0147,0.0
966,豬心,128.0034,13.5745,7.765,1.0301
967,豬白管,92.5513,14.136,3.5688,0.0
968,豬皮,490.9051,22.119,43.9531,0.0
969,豬耳,218.9035,24.163,12.8301,0.8706
970,豬舌,185.0689,18.468,11.775,0.0
971,豬血,29.387,6.3017,0.2748,0.5152
972,豬尾,294.8934,16.188,25.03,7.1377
973,豬肝,136.5323,20.813,5.2839,1.6635
974,醃燻豬肝,166.5452,26.825,4.72,4.1913
975,膽肝,251.5,31.2,7.9,13.9
976,豬肚,151.9585,12.446,10.955,0.0
977,熟豬肚,136.5491,16.03,7.55,2.7008
978,豬油渣,836.8553,17.388,84.5464,0.0
979,豬骨湯平均值,7.9266,0.948,0.43,0.0274
980,豬大骨湯,7.0102,1.008,0.3,0.4034
981,豬肋骨湯,8.7319,0.693,0.64,0.0
982,豬肩骨湯,8.0376,1.143,0.35,0.2352
983,豬軟骨,331.9995,15.648,29.3994,0.0
984,豬腎,81.5053,15.0215,1.925,1.6766
985,豬脾臟,78.8247,15.038,1.62,2.0056
986,豬大腸,198.2199,6.592,18.855,1.9137
987,豬小腸,155.9844,12.4805,11.385,0.6162
988,豬空腸,185.6239,10.905,15.4168,8.6286
989,豬前腳,252.0291,21.887,17.58,0.0
990,豬後腳,292.7985,19.542,23.21,0.0
991,豬蹄膀,330.989,17.1,28.6,0.0
992,滷豬腳,237.4,28.4,15.4,0.0
993,豬腳筋,71.5662,14.377,1.1282,0.0
994,豬腦,124.59,10.8,8.7,0.0
995,土雞,196.0191,18.983,12.7452,0.0
996,肉雞,248.1543,16.121,19.88,0.0
997,烏骨雞,212.2272,17.863,15.0723,0.8945
998,烤雞,232.9428,22.753,14.16,3.6227
999,里肌肉平均值,109.0687,24.2488,0.6127,0.0
1000,里肌肉(土雞),111.6391,24.845,0.6154,0.0
1001,里肌肉(肉雞),106.4984,23.6525,0.61,0.0
1002,帶骨去皮對切胸(肉雞),103.766,22.4,0.9,0.0
1003,帶骨帶皮對切胸(肉雞),218.6381,19.327,15.09,0.0
1004,去皮清肉平均值,118.7989,23.335,2.124,0.0
1005,去皮清肉(土雞),120.8252,23.356,2.3387,0.0
1006,去皮清肉(肉雞),116.7727,23.314,1.9093,0.637
1007,骨腿平均值,162.7523,18.0477,9.4999,0.1763
1008,骨腿(土雞),129.6066,21.708,4.0924,0.0
1009,骨腿(肉雞),195.898,14.3874,14.9073,1.7137
1010,清腿平均值,157.4795,18.4827,8.7094,0.0
1011,清腿(土雞),142.13,20.4,6.1,0.0
1012,清腿(肉雞),172.8289,16.5654,11.3187,0.0
1013,棒棒腿平均值,151.1916,18.9143,7.808,0.0
1014,棒棒腿(土雞),142.888,21.0,5.9,0.0
1015,棒棒腿(肉雞),159.4951,16.8285,9.7159,0.3234
1016,雞排平均值,183.2356,17.096,12.2213,0.0
1017,雞排(土雞),158.275,18.9,8.6,0.0
1018,雞排(肉雞),208.1962,15.292,15.8425,0.0
1019,雞排(肉雞)(2021年取樣),251.1062,14.897,20.7867,0.0
1020,去皮去骨雞腿(肉雞),164.6535,19.804,8.8792,0.0
1021,二節翅平均值,225.5691,18.0893,16.4444,0.0
1022,二節翅(土雞),227.964,19.8,15.9,0.0
1023,二節翅(肉雞),223.1743,16.3785,16.9887,0.6317
1024,三節翅平均值,210.3016,18.3292,14.6382,0.0
1025,三節翅(土雞),198.39,19.0,13.0,0.0
1026,三節翅(肉雞),222.2132,17.6583,16.2763,0.0
1027,翅腿(肉雞),209.6877,17.759,14.84,0.9968
1028,雞絞肉,131.2671,27.44,1.563,0.0
1029,雞心(肉雞),189.6825,13.2535,14.755,0.1004
1030,雞心(肉雞)(2021年取樣),204.4271,14.445,15.8256,1.2067
1031,雞尾椎,452.2672,8.953,45.9022,0.0634
1032,雞肝(肉雞),111.3352,18.786,3.45,2.6984
1033,雞胗(肉雞),88.9813,16.635,1.99,0.2942
1034,冷凍烤雞翅,217.4,18.8,14.2,3.6
1035,雞胸骨湯,8.8239,1.475,0.28,0.211
1036,雞睪丸,70.6519,10.572,2.8281,0.2333
1037,雞腳(肉雞),208.5494,20.6625,13.3393,1.2454
1038,雞膝軟骨(肉雞),107.0999,20.404,2.2145,0.4959
1039,雞皮(肉雞),441.7161,11.668,43.4472,0.0
1040,太空鴨,319.2313,15.973,27.83,0.0
1041,番鴨,228.7584,18.23,16.7313,0.0
1042,太空鴨(去皮),101.8751,20.075,1.791,0.0
1043,土番鴨,110.891,20.9,2.4,0.0
1044,櫻桃鴨胸肉片,226.5303,16.701,17.2081,4.6863
1045,鴨腿,282.1871,14.353,24.49,3.3766
1046,鴨血,28.79,6.006,0.3486,0.0
1047,鴨胗,97.2723,20.499,1.08,0.3138
1048,去骨鴨掌,113.4891,12.589,6.6224,0.0
1049,鴨腸,93.6642,13.787,3.8574,0.0
1050,鴨賞,304.0,31.1,17.6,5.3
1051,鴨翅,170.289,22.751,8.1089,0.0
1052,鴨頭,199.043,16.497,14.2573,0.0
1053,鴨舌,187.1688,16.006,13.1733,0.0
1054,鵝肉,187.48,15.6,13.4,2.4
1055,茶鵝,351.91,15.55,32.55,0.0
1056,鵝胸肉,120.3312,23.46,2.2347,0.2075
1057,鵝腿肉,130.4105,21.692,4.1891,0.0
1058,熟鵝腿肉,291.867,18.5,23.6,0.0
1059,鵝心,241.374,14.512,19.89,0.0
1060,鵝肝,122.993,20.487,3.9372,0.6418
1061,鵝胗,95.2911,17.359,2.3468,2.8204
1062,鵝腸,62.9221,9.2195,2.6114,0.7315
1063,火雞肉,140.609,21.1,5.6,0.0
1064,鴕鳥菲力肉排,105.059,22.8285,0.8405,0.7987
1065,鴕鳥沙朗肉排,96.6667,20.899,0.8235,6.0579
1066,鴕腱肉,107.4703,18.714,3.0556,0.2231
1067,鴕腩肉,143.5977,21.166,5.9001,0.6619
1068,雉雞,123.7122,23.951,2.3771,0.0
1069,山豬肉,465.5617,11.881,45.99,0.0
1070,虎皮蛙,93.705,21.1,0.4,0.6
1071,蛇肉,84.738,19.0,0.4,0.0
1072,雙髻鯊,117.3257,27.35,0.06,0.0
1073,雙髻鯊腹肉,110.166,25.8,0.0,0.0
1074,鯊魚切片,105.9827,24.7865,0.016,0.0
1075,鯊魚煙,98.4281,22.294,0.3584,0.0
1076,魟魚,106.3566,24.76,0.07,0.0
1077,日本鰻鱺魚片(生),253.6951,18.091,19.5617,0.0
1078,日本鰻鱺魚片(蒲燒),275.8459,25.031,18.7321,0.8756
1079,灰海鰻,96.555,20.5,1.0,0.0
1080,魩仔魚,55.617,11.0715,0.9248,0.0
1081,魩仔魚平均值(加工),123.8314,26.213,1.3195,0.9992
